LSU Tissue#,Date Collected,Location,Lat.,Long.,Sex,Culmen Length (mm),Tarsus (mm),Wing Chord (mm),Tail (mm),Mass (g),Fat Mass (g),Lean Mass (g)
B-97152,2/18/21,"Denham Springs, LA",30.5,-90.94,M,10.21,15.43,146,79,35.23,5.89,24.28
B-97153,2/18/21,"Denham Springs, LA",30.5,-90.94,M,10.78,15.91,145,72,34.17,5.25,22.93
B-97154,2/18/21,"Denham Springs, LA",30.5,-90.94,M,11.89,15.55,149,76,34.44,6.32,22.82
B-97155,2/19/21,"Thibodaux, LA",29.77,-90.82,M,11.36,13.86,147,76,31.81,4.16,22.11
B-97156,2/19/21,"Thibodaux, LA",29.77,-90.82,F,11.48,14.28,147,72,32.31,6.1,21.58
B-97157,2/19/21,"Thibodaux, LA",29.77,-90.82,M,10.97,14.43,147,77,34.54,3.99,25.31
B-97158,2/19/21,"Thibodaux, LA",29.77,-90.82,F,11.58,13.43,143,71,30.08,3.92,20.38
B-97159,2/19/21,"Thibodaux, LA",29.77,-90.82,M,11.47,14.87,145,74,32.05,5.94,19.7
B-97160,2/19/21,"Thibodaux, LA",29.77,-90.82,F,10.84,14.2,143,70,29.43,3.33,21.26
B-97161,2/14/21,"Sulfur, LA",30.11,-93.35,M,12.29,15.63,150,76,36.78,5.84,24.72
B-97162,2/19/21,"DeQuincy, LA",30.34,-93.48,M,12.26,14.68,148,75,35.97,4.81,25.73
B-97163,2/19/21,"DeQuincy, LA",30.34,-93.48,F,11.69,14.47,146,74,33.95,4.81,24.11
B-97164,2/19/21,"DeQuincy, LA",30.34,-93.48,M,11.63,15.36,148,77,35.66,4.25,24.39
B-97165,2/19/21,"DeQuincy, LA",30.34,-93.48,F,10.38,15.92,143,70,32.35,4.75,22.14
B-97166,2/19/21,"DeQuincy, LA",30.34,-93.48,M,11.09,14.21,148,73,36.58,6.89,22.79
B-97167,2/19/21,"DeQuincy, LA",30.34,-93.48,M,11.25,14.87,142,72,33.41,4.23,23.11
B-97168,2/23/21,"Bentley, LA",31.51,-92.49,M,11.12,14.09,144,73,33.16,5.64,22.67
B-97169,2/23/21,"Bentley, LA",31.51,-92.49,M,10.54,13.58,141,73,23.58,5.44,18.02
B-97170,2/23/21,"Bentley, LA",31.51,-92.49,M,11.42,14.34,145,74,29.41,3.38,21.7
B-97171,2/23/21,"Bentley, LA",31.51,-92.49,M,11.49,14.15,145,76,33.48,4.74,23.25
B-97172,2/23/21,"Bentley, LA",31.51,-92.49,F,12.05,16.32,143,69,32.8,4.72,22.98
B-97173,2/23/21,"Bentley, LA",31.51,-92.49,M,11.21,14.92,146,71,34.66,4.45,24.95
B-97174,2/23/21,"Bentley, LA",31.51,-92.49,M,11.06,13.58,146,75,29.82,NA,NA
B-97175,2/19/21,"Bunkie, LA",30.95,-92.19,M,10.22,15.41,147,72,35.01,6.76,23.27
B-97176,2/19/21,"Bunkie, LA",30.95,-92.19,M,10.87,15.73,150,73,35.6,6.42,23.63
B-97177,2/19/21,"Bunkie, LA",30.95,-92.19,M,11.11,15.68,145,71,33.19,5.14,22.83
B-97178,2/19/21,"Bunkie, LA",30.95,-92.18,M,11.24,15.61,148,73,35.82,6.32,24.34
B-97179,2/19/21,"Bunkie, LA",30.95,-92.18,M,10.82,15.66,148,76,43.6,11.51,25.85
B-97180,2/19/21,"Bunkie, LA",30.95,-92.18,F,9.96,14.25,141,72,36.3,6.08,25.13
B-97181,2/19/21,"Bunkie, LA",30.95,-92.18,M,10.41,15.62,147,75,46.36,13.12,25.86
B-97182,2/19/21,"Bunkie, LA",30.95,-92.18,M,10.52,15.85,150,78,39.02,5.97,27.33
B-97183,2/19/21,"Bunkie, LA",30.95,-92.18,M,10.61,15.66,145,77,34.82,5.47,24.11
B-97184,2/19/21,"Bunkie, LA",30.95,-92.19,F,10.91,15.73,139,78,33.98,5.29,23.03
B-97185,2/19/21,"Bunkie, LA",30.95,-92.19,F,10.62,15.82,150,74,33.36,5.39,22.44
B-97186,2/19/21,"Bunkie, LA",30.95,-92.19,M,11.36,15.8,144,72,38.84,8.5,24.18
B-97187,2/19/21,"Bunkie, LA",30.95,-92.19,M,11.15,15.97,147,72,34.62,5.04,24.3
B-97188,2/21/21,"Bunkie, LA",30.96,-92.2,M,11.38,14.86,148,73,34.11,5.21,24.12
B-97189,2/21/21,"Bunkie, LA",30.96,-92.2,M,11.25,14.89,144,73,34.54,5.07,23.78
B-97190,2/21/21,"Bunkie, LA",30.96,-92.2,M,12.07,14.79,145,75,33.29,4.59,23.85
B-97191,2/21/21,"Bunkie, LA",30.96,-92.2,M,11.29,13.46,138,69,31.88,4.57,22.54
B-97192,2/21/21,"Bunkie, LA",30.96,-92.2,M,11.96,14.26,147,72,35.44,5.02,25.5
B-97193,2/21/21,"Bunkie, LA",30.96,-92.2,M,12.54,13.92,146,73,32.83,3.92,24.11
B-97194,2/21/21,"Bunkie, LA",30.96,-92.2,F,11.18,15.82,141,67,33,4.11,23.7
B-97195,2/21/21,"Bunkie, LA",30.96,-92.2,F,11.13,14.68,142,71,32.74,4.02,23.71
B-97196,2/21/21,"Bunkie, LA",30.96,-92.2,F,11.15,15.37,143,73,32.71,4.74,23.41
B-97197,2/21/21,"Bunkie, LA",30.96,-92.2,F,10.74,14.5,140,71,42.18,9.56,27.34
B-97198,2/21/21,"Bunkie, LA",30.96,-92.2,F,11.37,15.65,148,74,33.96,4.41,24.29
B-97199,2/21/21,"Bunkie, LA",30.96,-92.2,M,12.01,14.57,145,71,29.6,3.22,21.51
B-97200,2/22/21,"Golden Meadow, LA",29.41,-90.27,F,10.97,15.85,145,73,33.29,NA,NA
B-97201,2/22/21,"Golden Meadow, LA",29.41,-90.27,M,11.03,14.49,148,77,33.69,4.25,24.07
B-97202,2/22/21,"Golden Meadow, LA",29.41,-90.27,F,10.27,14.3,139,72,33.53,4.28,24.45
B-97203,2/22/21,"Golden Meadow, LA",29.41,-90.27,F,10.69,15.13,144,74,29.22,2.75,19.62
B-97204,2/22/21,"Golden Meadow, LA",29.41,-90.27,M,10.31,13.73,144,73,32.01,3.88,22.22
B-97205,2/22/21,"Golden Meadow, LA",29.41,-90.27,M,10.38,14.33,144,77,31.04,4.13,21.52
B-97206,2/16/21,"Natalia, TX",29.2,-98.83,M,10.85,14.9,147,78,34.17,7.64,21.46
B-97207,2/16/21,"Natalia, TX",29.2,-98.83,M,10.68,15.1,154,79,33.47,5.63,22.05
B-97208,2/20/21,"Llano, TX",30.76,-98.75,F,9.84,15.04,145,73,36.87,6.65,24.45
B-97209,2/20/21,"Llano, TX",30.76,-98.75,F,9.99,15.36,149,71,34.42,5.06,24.24
B-97211,2/15/21,"Fate, TX",32.95,-96.39,M,10.39,15.45,154,74,34.53,4.54,24.34
B-97212,2/21/21,"Liberty, TX",30.06,-94.79,F,10.55,14.22,140,74,28.41,NA,NA
B-97213,2/21/21,"Liberty, TX",30.06,-94.79,M,10.19,15.07,142,73,28.95,3.36,20.68
B-97214,2/21/21,"Liberty, TX",30.06,-94.79,M,11.36,14.6,144,68,30.93,3.81,21.86
B-97215,2/21/21,"Trinidad, TX",32.2,-96.09,M,11.06,14.88,150,71,36.4,5.34,25.99
B-97216,2/21/21,"Trinidad, TX",32.2,-96.09,M,10.93,14.76,150,69,36.32,5.68,25.89
B-97217,2/14/21,"Fate, TX",32.95,-96.39,F,10.64,15.14,145,71,36.42,5.51,26.24
B-97218,2/21/21,"New Braunfels, TX",29.67,-98.11,M,10.46,14.69,147,72,35,4.8,25.48
B-97219,2/21/21,"New Braunfels, TX",29.67,-98.11,M,9.88,14.9,140,70,33.66,5,23.69
B-97220,2/21/21,"New Braunfels, TX",29.67,-98.11,M,10.74,14.87,149,69,32.02,4.5,22.22
B-97221,2/19/21,"Gonzalez, TX",29.51,-97.41,M,11.22,14.52,145,71,35.21,5.96,23.82
B-97222,2/19/21,"Gonzalez, TX",29.51,-97.41,M,10.68,14.37,150,78,33.4,5.34,23.09
B-97223,2/19/21,"Gonzalez, TX",29.51,-97.41,M,10.69,15.24,147,70,33.24,4.68,23.36
B-97224,2/19/21,"Gonzalez, TX",29.51,-97.41,M,11.33,15.2,144,66,36.55,6.29,24.99
B-97225,2/19/21,"Gonzalez, TX",29.51,-97.41,F,11.28,14.6,142,69,36.55,4.94,23.03
B-97226,2/19/21,"Gonzalez, TX",29.51,-97.41,F,11.18,14.8,145,71,38.16,6.01,27.26
B-97227,2/19/21,"Gonzalez, TX",29.51,-97.41,M,10.57,14.51,148,75,34.04,5.3,23.28
B-97228,2/19/21,"Gonzalez, TX",29.51,-97.41,F,10.27,14.82,140,66,35.01,5.21,25.51
B-97229,2/19/21,"Gonzalez, TX",29.51,-97.41,M,10.41,15,150,79,33.16,5.37,22.56
B-13671,2/19/21,"South Lake, TX",32.95,-97.15,M,10.52,15.19,144,70,28.12,3.8,19.29
B-13672,2/19/21,"South Lake, TX",32.95,-97.15,F,10.74,15.32,142,65,31.45,4.36,21.88
B-13673,2/22/21,"Edinburg, TX",26.29,-98.14,F,11.48,14.85,148,64,33.42,6.51,21.09
B-13674,2/22/21,"Edinburg, TX",26.29,-98.14,M,10.64,14.61,143,70,29.35,4.97,18.83
B-13675,2/20/21,"Edinburg, TX",26.29,-98.14,M,10.5,15.92,149,72,33.42,5.63,21.12
B-13676,2/25/21,"Edinburg, TX",26.29,-98.14,F,10.17,16.14,145,71,21.04,2.65,12.06
B-13677,2/20/21,"Edinburg, TX",26.29,-98.14,F,10.3,15.88,146,70,31.26,5.7,19.36
B-13678,2/20/21,"Edinburg, TX",26.29,-98.14,M,10.46,15.4,143,75,30.82,5.43,19.77
B-13679,2/20/21,"Edinburg, TX",26.29,-98.14,M,10.19,15.63,148,76,30.35,5.3,19.69
B-13680,2/20/21,"Edinburg, TX",26.29,-98.14,F,10.76,15.47,144,74,31.81,5.89,21.31
B-13681,2/20/21,"Edinburg, TX",26.29,-98.14,F,10.06,14.67,145,71,31.5,5.08,20.57
B-13682,2/20/21,"Edinburg, TX",26.29,-98.14,M,10.82,14.53,143,73,31.12,3.94,20.41
B-13683,3/4/21,"Austin, TX",30.31,-97.74,M,11.94,14.71,147,73,44.34,10.43,25.94
B-13684,3/4/21,"Austin, TX",30.31,-97.74,M,11.13,15.12,144,73,47.27,11.16,28.5
B-13685,3/8/21,"Austin, TX",30.31,-97.74,F,11.29,14.78,145,73,45.07,11.36,26.84
B-13686,3/8/21,"Austin, TX",30.31,-97.74,F,10.64,15.45,141,73,47.29,15.59,25.95
B-13687,3/4/21,"Austin, TX",30.31,-97.74,M,11.43,14.63,138,69,43.76,12.5,25.91
B-13688,3/4/21,"Austin, TX",30.31,-97.74,M,11.53,15.3,144,72,45.92,12.81,27.09
B-13689,2/21/21,"San Antonio, TX",29.5,-98.48,F,11.7,14.64,144,69,36.33,7.1,23.63
B-13690,2/21/21,"San Antonio, TX",29.5,-98.48,F,11.3,15.12,142,69,30.86,4.75,20.59
B-13691,2/21/21,"San Antonio, TX",29.5,-98.48,M,11.02,14.28,146,74,35.14,6.35,23.37
B-13692,2/21/21,"San Antonio, TX",29.5,-98.48,M,11.71,14.61,139,73,32.46,5.05,21.98
B-13693,2/21/21,"San Antonio, TX",29.5,-98.48,F,12.72,14.6,144,72,35.71,6.77,22.94
B-13694,2/21/21,"San Antonio, TX",29.5,-98.48,M,11.74,14.34,147,72,35.07,5.36,23.59
B-13695,2/21/21,"San Antonio, TX",29.5,-98.48,M,11.25,14.53,149,81,35.59,6.78,22.1
B-13696,2/21/21,"San Antonio, TX",29.5,-98.48,M,11.46,15.08,147,72,32.42,5.91,20.21
B-13697,2/21/21,"San Antonio, TX",29.5,-98.48,F,10.71,14.33,139,68,32.78,5.52,21.91
B-13698,2/21/21,"San Antonio, TX",29.5,-98.48,M,11.04,14.57,144,72,33.48,5.65,21.97
B-13699,2/21/21,"San Antonio, TX",29.5,-98.48,M,11.32,15.71,148,76,34.81,5.58,23.26
B-13700,2/21/21,"San Antonio, TX",29.5,-98.48,M,11.4,15.16,145,74,34.04,5.11,22.31
B-13701,2/21/21,"San Antonio, TX",29.5,-98.48,M,10.94,14.35,143,72,29.35,3.94,19.86
B-13702,2/21/21,"San Antonio, TX",29.5,-98.48,F,11.98,14.63,146,74,34.78,5.96,22.35
B-13703,2/21/21,"San Antonio, TX",29.5,-98.48,F,11.73,15.66,143,72,32.57,4.81,21.78
B-13704,2/18/21,"Yantis, TX",32.93,-95.58,F,11.66,14.44,146,72,33.78,4.52,23.84
B-13705,2/18/21,"Yantis, TX",32.93,-95.58,F,9.95,15.68,144,71,31.9,5.25,21.19
B-13707,2/21/21,"San Antonio, TX",29.46,-98.5,F,11.57,16.74,143,70,32.81,4.57,22.47
B-13708,2/21/21,"San Antonio, TX",29.46,-98.5,M,11.67,14.65,147,74,32.25,4.55,22.23
B-13709,2/17/21,"Corpus Christi, TX",27.7,-97.41,F,11.85,15.08,141,71,32,3.94,23.43
B-13710,2/19/21,"Corpus Christi, TX",27.65,-97.41,M,10.02,15.13,150,76,37.43,5.5,26.66
B-13711,2/19/21,"Corpus Christi, TX",27.65,-97.41,M,12.47,14.78,145,71,32.45,4.44,22.2
B-13712,2/19/21,"Corpus Christi, TX",27.65,-97.41,F,11.53,15.24,143,73,31.04,4.55,21.23
B-13713,2/19/21,"Corpus Christi, TX",27.65,-97.41,F,11.53,16.49,144,67,34.2,5.69,23.19
B-13714,2/19/21,"Corpus Christi, TX",27.65,-97.41,M,12.17,15.03,150,72,34.52,4.96,24.06
B-13715,2/19/21,"Corpus Christi, TX",27.65,-97.41,M,10.47,15.08,144,70,14.97,NA,NA
B-13716,2/19/21,"Corpus Christi, TX",27.65,-97.41,M,11.35,13.08,145,73,22.35,1.88,13.68
B-13717,2/19/21,"Corpus Christi, TX",27.65,-97.41,M,13.15,15.73,149,77,35.53,4.47,26.02
B-13718,2/19/21,"Corpus Christi, TX",27.65,-97.41,M,11.47,14.8,141,73,30.24,4.67,16.24
B-13719,2/19/21,"Corpus Christi, TX",27.65,-97.41,F,11.34,14.58,140,70,29.64,4.83,17.27
B-13720,2/19/21,"Corpus Christi, TX",27.65,-97.41,M,11.58,14.38,147,71,17.13,NA,NA
B-13721,2/19/21,"Corpus Christi, TX",27.65,-97.41,F,11.33,14.76,144,71,13.18,NA,NA
B-13722,2/20/21,"Giddings, TX",30.19,-96.93,F,10.47,14.25,140,73,32.17,5.98,21.03
B-13723,2/20/21,"Giddings, TX",30.19,-96.93,F,10.62,14.66,144,75,31.62,4.61,21.1
B-13724,2/20/21,"Giddings, TX",30.19,-96.93,F,10.2,14.95,142,77,29.99,NA,NA
B-13725,2/20/21,"Giddings, TX",30.19,-96.93,F,9.84,14.64,141,72,31.48,5.79,21.27
B-13726,2/20/21,"Giddings, TX",30.19,-96.93,F,9.68,14.38,140,77,35.52,6.01,24.1
B-13727,2/20/21,"Giddings, TX",30.19,-96.93,M,11.21,15.2,147,80,36.74,6.74,23.81
