Latitude,Longitude,Adult Arrival Date
32.1911909,-95.3602216,2/2/21
30.821363,-86.184574,2/2/21
29.8131115,-98.4037312,2/2/21
32.6851312,-95.5519023,2/2/21
30.0495,-91.9050929,2/2/21
29.7271802,-95.8297178,2/2/21
30.3058004,-91.1635784,2/3/21
29.1113663,-96.4033018,2/3/21
29.7554541,-96.0910688,2/3/21
32.831081,-95.6292636,2/3/21
29.9524635,-97.8394088,2/3/21
32.2910448,-86.4511081,2/3/21
30.2947037,-91.9947099,2/3/21
32.9726936,-96.8654863,2/3/21
29.8719146,-95.4998014,2/4/21
26.4647086,-81.9544859,2/4/21
29.9060782,-98.3034977,2/4/21
29.7626564,-91.4250875,2/4/21
29.6978078,-95.8633711,2/4/21
32.4158062,-94.9460621,2/4/21
31.3488186,-92.5487306,2/4/21
30.5171005,-90.8670852,2/4/21
28.088422,-82.2300392,2/4/21
30.4498833,-89.3780846,2/4/21
27.5012436,-97.8459536,2/4/21
30.5366531,-97.5502185,2/4/21
30.0747179,-89.9445635,2/4/21
32.0423332,-102.0508756,2/4/21
33.2963444,-87.6014147,2/4/21
29.6829912,-95.6496976,2/4/21
29.6337334,-98.4440638,2/4/21
32.9311441,-95.5830822,2/4/21
30.7610368,-98.7512359,2/4/21
29.9726308,-93.9572374,2/4/21
29.3304046,-95.0416198,2/4/21
30.4128191,-94.8665888,2/4/21
26.2903053,-98.1334718,2/4/21
28.895891,-97.8873243,2/4/21
29.9633831,-93.9940815,2/4/21
32.5061323,-90.0134047,2/4/21
29.4500087,-96.9941965,2/4/21
26.6634646,-81.8980336,2/5/21
31.5944309,-82.0021998,2/5/21
32.3656095,-84.8776392,2/5/21
32.0257884,-89.554264,2/5/21
32.9643346,-97.131933,2/5/21
29.8674076,-91.5241635,2/5/21
29.9089791,-91.6906058,2/5/21
29.6678694,-95.7241616,2/5/21
32.5098414,-81.7612364,2/5/21
29.123607,-95.5679426,2/5/21
29.7118164,-95.7944568,2/5/21
30.141169,-93.16645,2/5/21
31.666146,-87.8010966,2/5/21
29.5531168,-97.83125,2/5/21
29.9318528,-97.4606812,2/5/21
32.3600349,-90.4590129,2/5/21
30.1564094,-91.8085955,2/5/21
26.5843337,-82.0289214,2/5/21
34.9128719,-91.1101221,2/5/21
27.5830817,-98.3045015,2/6/21
32.9716942,-84.2407187,2/6/21
25.4984716,-80.4218289,2/6/21
30.2770481,-98.8813836,2/6/21
26.9083009,-82.0767384,2/6/21
32.5932041,-87.5923098,2/6/21
29.8871497,-97.7630403,2/6/21
31.1348407,-85.3962769,2/6/21
33.2976516,-90.0732285,2/6/21
34.6317517,-92.9174092,2/6/21
29.4266093,-97.1669651,2/6/21
29.663008,-98.1246822,2/6/21
30.4489495,-90.9251789,2/6/21
31.4104299,-100.494606,2/6/21
32.2262545,-82.3771616,2/7/21
30.532946,-90.1810469,2/7/21
32.569474,-87.733169,2/7/21
32.7589199,-82.8025371,2/7/21
32.5565236,-86.1614054,2/7/21
31.5357712,-90.6762209,2/7/21
32.3026453,-83.4922268,2/7/21
33.8479412,-94.0545016,2/7/21
33.024755,-83.1345963,2/7/21
29.8745394,-97.6942194,2/7/21
32.1413864,-101.4372816,2/7/21
34.1071092,-97.1761849,2/7/21
29.3277919,-98.8895633,2/7/21
30.4280957,-91.0243405,2/7/21
32.2584679,-81.2350815,2/7/21
30.0492642,-89.9767058,2/7/21
30.299329,-95.3749393,2/7/21
27.6462708,-97.4107187,2/7/21
27.3866041,-97.8070871,2/8/21
26.7826379,-82.0478222,2/8/21
33.6333266,-98.5011716,2/8/21
30.4976805,-90.9362878,2/8/21
30.5332151,-91.0744788,2/8/21
31.387113,-100.456826,2/8/21
31.6946435,-81.7201576,2/8/21
32.0408775,-99.4681421,2/8/21
29.96563,-97.713776,2/8/21
30.5943256,-98.2561244,2/8/21
33.2427475,-87.620142,2/8/21
31.1980158,-85.4776991,2/8/21
28.4424662,-96.4327185,2/8/21
27.6749177,-97.4003505,2/8/21
32.948566,-96.3936991,2/8/21
27.6625611,-97.3525631,2/8/21
31.5911093,-83.9407831,2/8/21
31.411782,-83.434828,2/8/21
32.7780679,-94.356513,2/8/21
29.1153403,-98.6761964,2/8/21
32.797868,-97.8101347,2/8/21
30.2245314,-94.9628678,2/8/21
32.5094427,-87.71606,2/8/21
32.8647122,-95.5882938,2/8/21
29.2995046,-100.4253733,2/8/21
28.6493192,-81.4575523,2/8/21
30.9651612,-89.8158724,2/8/21
29.5503661,-95.7655961,2/8/21
33.0502566,-96.3840504,2/8/21
30.3277145,-89.3741982,2/8/21
30.5081394,-88.3685807,2/9/21
30.7589757,-88.2440265,2/9/21
28.830988,-96.9482147,2/9/21
32.939501,-84.247817,2/9/21
32.8075279,-83.8471565,2/9/21
29.5880165,-96.9551697,2/9/21
32.8254859,-96.2452363,2/9/21
32.3997364,-81.9652649,2/9/21
33.9027982,-79.0518559,2/9/21
33.814322,-79.621638,2/9/21
27.590647,-97.230561,2/9/21
28.6731298,-99.1750256,2/9/21
30.3003557,-98.4232225,2/9/21
33.8912983,-80.3877636,2/9/21
34.1359235,-81.5379825,2/9/21
32.3780828,-91.8090145,2/9/21
34.2424012,-88.7499586,2/9/21
34.1152929,-82.5483757,2/9/21
30.3883387,-86.503794,2/9/21
30.44434,-88.7017709,2/9/21
28.776727,-95.6363172,2/9/21
32.5628704,-90.5811585,2/9/21
28.9239024,-81.9471096,2/9/21
33.9176798,-98.5271863,2/9/21
32.51,-87.69444,2/9/21
28.7976289,-97.0569444,2/9/21
30.3431045,-97.3732655,2/9/21
30.3041369,-95.5638815,2/9/21
32.9533541,-80.0391057,2/9/21
32.5515889,-92.1063874,2/9/21
32.4942971,-95.7165796,2/9/21
33.0863473,-86.8375054,2/9/21
33.517541,-82.471477,2/9/21
28.6578429,-97.3789877,2/9/21
30.6749299,-87.3825846,2/9/21
